iter	Passed	Remaining
842	7987	1487
843	7995	1477
844	8003	1468
845	8010	1458
846	8017	1448
847	8025	1438
848	8032	1428
849	8040	1418
850	8047	1409
851	8054	1399
852	8065	1390
853	8074	1380
854	8081	1370
855	8088	1360
856	8095	1350
857	8102	1340
858	8110	1331
859	8117	1321
860	8126	1312
861	8137	1302
862	8148	1293
863	8160	1284
864	8172	1275
865	8181	1265
866	8191	1256
867	8200	1247
868	8211	1237
869	8218	1228
870	8226	1218
871	8233	1208
872	8241	1198
873	8248	1189
874	8256	1179
875	8263	1169
876	8273	1160
877	8280	1150
878	8289	1141
879	8296	1131
880	8305	1121
881	8313	1112
882	8321	1102
883	8327	1092
884	8335	1083
885	8343	1073
886	8351	1063
887	8359	1054
888	8367	1044
889	8375	1035
890	8383	1025
891	8389	1015
892	8398	1006
893	8406	996
894	8413	987
895	8421	977
896	8430	968
897	8437	958
898	8444	948
899	8453	939
900	8461	929
901	8472	920
902	8481	911
903	8489	901
904	8500	892
905	8507	882
906	8517	873
907	8525	863
908	8533	854
909	8542	844
910	8549	835
911	8553	825
912	8561	815
913	8568	806
914	8576	796
915	8584	787
916	8591	777
917	8598	768
918	8605	758
919	8614	749
920	8621	739
921	8629	730
922	8636	720
923	8645	711
924	8652	701
925	8661	692
926	8668	682
927	8677	673
928	8684	663
929	8693	654
930	8700	644
931	8708	635
932	8716	625
933	8725	616
934	8732	607
935	8741	597
936	8748	588
937	8756	578
938	8764	569
939	8773	560
940	8781	550
941	8789	541
942	8796	531
943	8804	522
944	8811	512
945	8818	503
946	8826	493
947	8833	484
948	8841	475
949	8848	465
950	8857	456
951	8866	447
952	8874	437
953	8882	428
954	8890	418
955	8897	409
956	8905	400
957	8913	390
958	8921	381
959	8929	372
960	8937	362
961	8944	353
962	8953	344
963	8963	334
964	8971	325
965	8979	316
966	8986	306
967	8993	297
968	9000	287
969	9008	278
970	9017	269
971	9023	259
972	9032	250
973	9039	241
974	9047	231
975	9053	222
976	9062	213
977	9068	204
978	9077	194
979	9084	185
980	9093	176
981	9102	166
982	9112	157
983	9122	148
984	9132	139
985	9143	129
986	9150	120
987	9158	111
988	9165	101
989	9176	92
990	9184	83
991	9192	74
992	9199	64
993	9209	55
994	9218	46
995	9227	37
996	9236	27
997	9245	18
998	9254	9
999	9262	0
